"","num_cases"
"1",37
"2",38
"3",40
"4",41
"5",43
"6",44
"7",46
"8",49
"9",51
"10",55
"11",58
"12",63
"13",68
"14",74
"15",82
"16",90
"17",100
"18",112
"19",125
"20",140
"21",157
"22",176
"23",196
"24",217
"25",240
"26",263
"27",287
"28",310
"29",334
"30",356
"31",378
"32",397
"33",415
"34",431
"35",444
"36",455
"37",462
"38",467
"39",467
"40",465
"41",460
"42",453
"43",442
"44",430
"45",416
"46",400
"47",383
"48",365
"49",347
"50",328
"51",309
"52",290
"53",272
"54",253
"55",236
"56",219
"57",202
"58",186
"59",171
"60",157
"61",144
"62",132
"63",120
"64",109
"65",100
"66",91
"67",82
"68",75
"69",68
"70",62
"71",57
"72",52
"73",48
"74",44
"75",41
"76",38
"77",35
"78",33
"79",31
"80",29
"81",27
"82",25
"83",24
"84",22
"85",21
"86",20
"87",19
"88",18
"89",17
"90",16
"91",15
"92",14
"93",13
"94",13
"95",12
"96",11
"97",11
"98",10
"99",9
"100",9
"101",8
"102",8
"103",7
"104",7
"105",6
"106",6
"107",6
"108",5
"109",5
"110",4
