"","MSOA11CD"
"1","E02004129"
"2","E02004130"
"3","E02004131"
"4","E02004132"
"5","E02004133"
"6","E02004134"
"7","E02004135"
"8","E02004136"
"9","E02004137"
"10","E02004138"
"11","E02004139"
"12","E02004140"
"13","E02004141"
"14","E02004142"
"15","E02004143"
"16","E02004144"
"17","E02004145"
"18","E02004146"
"19","E02004147"
"20","E02004148"
"21","E02004149"
"22","E02004150"
"23","E02004151"
"24","E02004152"
"25","E02004153"
"26","E02004154"
"27","E02004155"
"28","E02004156"
"29","E02004157"
"30","E02004158"
"31","E02004159"
"32","E02004160"
"33","E02004161"
"34","E02004162"
"35","E02004163"
"36","E02004164"
"37","E02004165"
"38","E02004166"
"39","E02004167"
"40","E02004168"
"41","E02004169"
"42","E02004170"
"43","E02004171"
"44","E02004172"
"45","E02004173"
"46","E02004174"
"47","E02004175"
"48","E02004176"
"49","E02004177"
"50","E02004178"
"51","E02004179"
"52","E02004180"
"53","E02004181"
"54","E02004182"
"55","E02004183"
"56","E02004184"
"57","E02004185"
"58","E02004186"
"59","E02004187"
"60","E02004188"
"61","E02004189"
"62","E02004190"
"63","E02004191"
"64","E02004192"
"65","E02004193"
"66","E02004194"
"67","E02004195"
"68","E02004196"
"69","E02004197"
"70","E02004198"
"71","E02004199"
"72","E02004200"
"73","E02004201"
"74","E02004202"
"75","E02004203"
"76","E02004204"
"77","E02004205"
"78","E02004206"
"79","E02004207"
"80","E02004208"
"81","E02004209"
"82","E02004210"
"83","E02004211"
"84","E02004212"
"85","E02004213"
"86","E02004214"
"87","E02004215"
"88","E02004216"
"89","E02004217"
"90","E02004218"
"91","E02004219"
"92","E02004220"
"93","E02004221"
"94","E02004222"
"95","E02004223"
"96","E02004224"
"97","E02004225"
"98","E02004226"
"99","E02004227"
"100","E02004228"
"101","E02004229"
"102","E02004230"
"103","E02004231"
"104","E02004232"
"105","E02004233"
"106","E02004234"
"107","E02004235"
